id,text,lon,lat
PHHS-S7AOIJMN,Checked in at the outpatient department for lab tests (in Cagayan de Oro). Everything was fine today. 📌,-0.458740401,51.85775690824492
PHHS-J8ZFFP61,"Appreciate the care I received in Baguio. Dental Service was smooth and quick, and everyone was kind.",120.56739799936852,16.460992706105227
PHHS-Q0T38Y8C,"In Cabanatuan, a barangay health center handled lab tests in a smooth and quick way. Super compassionate team. Sharing this for awareness.",76.92281210693389,28.667305148319656
PHHS-59ODHBFF,"Really impressed with the care I received in Naga. A Follow-Up Appointment was very reassuring, and everyone was respectful. Could be improved with better signage and scheduling.",123.16369833147894,13.606674800456382
PHHS-BZVFK8V9,"Honestly relieved by a barangay health center in General Santos. Staff were compassionate and attentive, and a referral was smooth and quick. 🙏 Posting in case it helps others.",125.19804604039896,6.051404057407087
PHHS-WMTOZMG0,Went to a community vaccination site in Dumaguete for a prenatal consult. Process was routine.,209.37504030949717,94.22540848
PHHS-RIG92U6C,Quezon City: A Referral at an ER triage area was fine. 😐,120.9921395422133,14.72412715499776
PHHS-42GTR7WW,"I can't believe a community vaccination site in Roxas City. Waited 4 hours for an X-ray request, and the facilities was overcrowded. was exhausting.",-117.9602787,34.60467618919756
PHHS-KP60OO1J,"I can't believe a private clinic in Bacolod. Waited 1 hours for a follow-up appointment, and the waiting time was rude. ❌ was exhausting. Posting in case it helps others.",123.02348349846667,10.815451033279468
PHHS-JSR27JT4,"So disappointed in a telemedicine kiosk in Tuguegarao. Waited 3 hours for a follow-up appointment, and the waiting time was dismissive. 😤 didn't make sense.",121.84741851541295,17.717025986519896
PHHS-DX4I0YMI,Roxas City: A Vaccination at a telemedicine kiosk was fine. Will monitor next visit.,122.70031714287488,11.657428305079009
PHHS-E05A818K,Dropped by an ER triage area in Davao City for lab tests. Process was routine.,125.32122702992072,7.244690095867201
PHHS-1VA9HXES,"Happy with a rural health unit in Manila. Staff were efficient and patient, and lab tests was better than expected. ✅",121.07374917109053,14.57126255406578
PHHS-5QC9JK2U,"Honestly relieved by the care I received in Borongan. A Check-Up was clear and straightforward, and everyone was attentive. Not sure if it's a one-off.",125.42653920356854,11.36343330244256
PHHS-5DQCBWY3,"Honestly relieved by the care I received in Puerto Princesa. An X-Ray Request was very reassuring, and everyone was helpful. ✅",118.65907461824708,9.654358907906907
PHHS-PERPD7YH,Bacolod: Philhealth-Related Processing at a private clinic was average. Not sure if it's a one-off.,122.94790446045964,10.819379758707395
PHHS-WWQFPFBM,"Shoutout to a community vaccination site in Naga. Staff were organized and helpful, and a prenatal consult was smooth and quick.",55.73052679956445,25.21323000100696
PHHS-0TVW5EJD,"Appreciate the care I received in Tuguegarao. Philhealth-Related Processing was better than expected, and everyone was warm.",121.74813261685416,17.54738362053078
